6295-244435-0032:1.0,0.9638:0
6319-275224-0009:1.0,1.0:0
6319-275224-0011:1.0,0.9584:0
6319-57405-0004:1.0,1.0:0
6319-57405-0009:1.0,0.8373:0
6319-64726-0007:0.9745,0.9091:0
6345-64257-0012:1.0,0.8958:0
6345-64257-0013:1.0,1.0:0
6345-64257-0020:1.0,0.9091:0
6345-93302-0002:1.0,1.0:0
6345-93302-0005:1.0,0.998:0
6345-93302-0011:1.0,1.0:0
6345-93302-0013:1.0,1.0:0
6345-93306-0002:1.0,0.877:0
6345-93306-0004:1.0,0.9192:0
6345-93306-0005:1.0,0.8484:0
6345-93306-0011:0.9563,0.8508:0
6345-93306-0017:1.0,0.8826:0
652-129742-0011:1.0,1.0:0
652-130726-0013:0.8836,0.8889:0
652-130726-0030:1.0,1.0:0
652-130726-0031:0.9469,0.9469:0
652-130726-0034:1.0,0.9146:0
652-130737-0004:0.959,0.8557:0
777-126732-0002:0.9902,0.8427:0
777-126732-0004:0.9817,0.9817:0
777-126732-0005:1.0,0.937:0
777-126732-0016:0.9882,0.8954:0
777-126732-0035:1.0,0.9792:0
777-126732-0040:1.0,0.8515:0
777-126732-0043:1.0,1.0:0
777-126732-0076:1.0,0.8765:0
777-126732-0077:1.0,1.0:0
7850-281318-0009:0.9584,0.8746:0
1272-128104-0010:0.843,0.9877:0
1272-128104-0014:0.9378,0.9061:0
1272-135031-0011:0.9649,0.9895:0
1272-135031-0016:0.9333,0.819:0
1272-141231-0012:0.8196,0.9167:0
1272-141231-0016:1.0,0.7417:0
1272-141231-0020:1.0,0.8329:0
1462-170138-0025:1.0,1.0:0
1462-170142-0011:1.0,1.0:0
1462-170142-0012:1.0,0.8984:0
1462-170142-0016:1.0,0.9093:0
1462-170142-0030:1.0,1.0:0
1462-170142-0032:1.0,1.0:0
1462-170142-0042:1.0,1.0:0
1462-170145-0007:1.0,1.0:0
1462-170145-0009:1.0,0.963:0
1673-143396-0009:0.956,0.9549:0
1673-143397-0006:0.9117,0.9032:0
1673-143397-0010:0.8593,0.856:0
1673-143397-0017:1.0,0.9773:0
174-168635-0007:0.9691,0.873:0
174-168635-0017:0.9028,0.9028:0
174-50561-0002:0.9667,1.0:0
174-50561-0004:0.8304,0.8102:0
174-50561-0010:0.9222,0.9547:0
174-50561-0012:1.0,1.0:0
174-84280-0001:0.9701,0.9414:0
174-84280-0008:1.0,0.9369:0
1919-142785-0000:1.0,1.0:0
1919-142785-0007:0.9847,0.9258:0
1919-142785-0010:1.0,1.0:0
1919-142785-0012:1.0,1.0:0
1919-142785-0025:0.9249,0.8666:0
1919-142785-0040:1.0,0.9612:0
1919-142785-0053:0.9741,0.9094:0
1988-147956-0012:1.0,1.0:0
1988-147956-0022:1.0,1.0:0
1988-148538-0006:0.907,0.8678:0
1988-148538-0012:1.0,0.8217:0
1988-24833-0002:1.0,1.0:0
1988-24833-0025:0.9134,0.9134:0
1993-147149-0000:1.0,0.9725:0
1993-147149-0002:0.9751,0.8901:0
1993-147149-0008:1.0,1.0:0
1993-147149-0014:1.0,1.0:0
1993-147964-0007:1.0,0.9787:0
1993-147965-0004:1.0,1.0:0
2035-147961-0003:1.0,1.0:0
2035-147961-0010:1.0,0.9097:0
2035-147961-0014:1.0,0.9784:0
2035-147961-0028:1.0,0.6162:0
2035-147961-0029:0.9151,0.9662:0
2035-152373-0009:0.9447,0.8312:0
2078-142845-0000:0.9008,0.8316:0
2078-142845-0006:0.9972,0.9138:0
2078-142845-0009:1.0,1.0:0
2078-142845-0012:1.0,1.0:0
2078-142845-0015:1.0,0.9976:0
2078-142845-0024:1.0,0.0:0
2078-142845-0026:1.0,1.0:0
2078-142845-0032:0.8549,0.9567:0
2078-142845-0049:1.0,1.0:0
2086-149214-0002:0.8681,0.8598:0
2086-149214-0003:0.9348,0.9979:0
2086-149220-0001:0.8925,0.8365:0
2086-149220-0002:1.0,0.8724:0
2086-149220-0010:1.0,0.9019:0
2086-149220-0015:1.0,1.0:0
2086-149220-0017:1.0,0.832:0
2086-149220-0020:1.0,1.0:0
2086-149220-0026:1.0,0.8452:0
2086-149220-0035:1.0,0.9199:0
2086-149220-0041:0.9483,0.9451:0
2277-149874-0005:1.0,0.983:0
2277-149896-0006:1.0,1.0:0
2277-149896-0012:1.0,1.0:0
2277-149896-0014:1.0,0.9486:0
2277-149896-0030:1.0,0.9226:0
2277-149897-0001:1.0,0.9687:0
2277-149897-0007:1.0,0.992:0
2277-149897-0009:1.0,0.8748:0
2277-149897-0013:1.0,0.8063:0
2277-149897-0023:1.0,1.0:0
2277-149897-0030:1.0,1.0:0
2412-153947-0002:1.0,1.0:0
2412-153947-0007:1.0,0.9217:0
2412-153947-0008:0.9204,0.9054:0
2412-153947-0015:0.9616,0.8433:0
2412-153948-0000:0.9285,0.9051:0
2412-153948-0004:0.883,0.8561:0
2412-153948-0007:1.0,0.8383:0
2412-153954-0004:1.0,0.9356:0
2428-83699-0003:1.0,0.9343:0
2428-83699-0007:1.0,0.9931:0
2428-83699-0020:1.0,1.0:0
2428-83699-0032:0.9809,0.9809:0
2428-83699-0035:1.0,0.975:0
2428-83705-0002:1.0,0.9738:0
2428-83705-0008:1.0,0.9631:0
2428-83705-0011:1.0,0.9181:0
2428-83705-0017:1.0,0.9389:0
2428-83705-0028:1.0,1.0:0
2428-83705-0037:1.0,1.0:0
251-118436-0006:1.0,1.0:0
251-118436-0017:1.0,0.9639:0
251-118436-0019:1.0,0.951:0
251-136532-0001:0.8914,0.8965:0
251-136532-0020:1.0,1.0:0
251-137823-0008:1.0,0.9584:0
251-137823-0015:0.9867,0.9867:0
251-137823-0022:1.0,0.9872:0
2803-154328-0002:1.0,1.0:0
2803-154328-0019:1.0,0.8309:0
2902-9006-0009:1.0,1.0:0
2902-9006-0016:0.9554,0.8628:0
3000-15664-0011:1.0,0.8965:0
3000-15664-0016:0.9173,0.9173:0
3000-15664-0022:0.9506,0.9208:0
3081-166546-0003:1.0,1.0:0
3081-166546-0005:1.0,1.0:0
3081-166546-0012:1.0,1.0:0
3081-166546-0070:0.9199,0.8585:0
3081-166546-0071:1.0,0.9854:0
3081-166546-0081:1.0,0.8778:0
3081-166546-0082:1.0,0.8983:0
3081-166546-0088:1.0,1.0:0
3170-137482-0000:1.0,0.9523:0
3170-137482-0011:0.9524,0.8562:0
3170-137482-0022:0.96,0.9974:0
3170-137482-0034:1.0,1.0:0
3170-137482-0035:1.0,1.0:0
3170-137482-0042:0.9713,0.9713:0
3170-137482-0045:1.0,0.9252:0
3536-23268-0001:1.0,0.9594:0
3536-23268-0003:1.0,0.9658:0
3536-23268-0004:1.0,1.0:0
3536-8226-0001:1.0,0.9413:0
3536-8226-0004:1.0,0.8747:0
3536-8226-0024:1.0,0.9903:0
3536-8226-0025:1.0,0.9457:0
3536-8226-0026:1.0,0.9209:0
3576-138058-0003:0.9787,0.9583:0
3576-138058-0031:1.0,0.9818:0
3576-138058-0033:1.0,0.9744:0
3752-4943-0003:1.0,1.0:0
3752-4943-0016:1.0,1.0:0
3752-4943-0026:1.0,0.8438:0
3752-4944-0016:1.0,0.9964:0
3752-4944-0025:1.0,0.8202:0
3752-4944-0031:0.9144,0.9716:0
3752-4944-0034:0.939,0.939:0
3752-4944-0036:0.9974,0.932:0
3752-4944-0043:0.9567,1.0:0
3752-4944-0053:0.8461,0.8247:0
3752-4944-0058:1.0,1.0:0
3752-4944-0069:1.0,1.0:0
3853-163249-0022:1.0,0.8538:0
3853-163249-0032:0.9251,0.9292:0
3853-163249-0042:1.0,0.9136:0
3853-163249-0045:0.9841,0.8716:0
3853-163249-0052:0.9048,0.9013:0
422-122949-0006:1.0,0.9688:0
422-122949-0008:1.0,0.9588:0
5338-24615-0007:0.9939,0.86:0
5338-24640-0007:1.0,1.0:0
5338-284437-0003:1.0,0.9025:0
5338-284437-0006:1.0,0.9815:0
5536-43359-0007:0.9352,0.832:0
5694-64025-0011:0.9205,0.8607:0
5694-64025-0016:1.0,0.9313:0
5694-64029-0025:1.0,0.9604:0
5694-64038-0003:1.0,1.0:0
5694-64038-0018:1.0,0.8785:0
5694-64038-0024:1.0,1.0:0
5895-34615-0000:1.0,1.0:0
5895-34615-0006:1.0,1.0:0
5895-34615-0007:1.0,0.909:0
5895-34615-0015:1.0,1.0:0
5895-34622-0000:1.0,1.0:0
5895-34622-0007:1.0,1.0:0
5895-34622-0014:0.9064,1.0:0
5895-34629-0014:0.864,0.7715:0
5895-34629-0020:1.0,1.0:0
6241-61943-0004:1.0,0.9475:0
6241-61943-0009:0.8955,0.8955:0
6241-61943-0012:1.0,1.0:0
6241-61943-0013:1.0,0.9269:0
6241-61946-0003:1.0,0.9188:0
6295-244435-0012:1.0,0.9415:0
6295-244435-0017:1.0,1.0:0
6295-244435-0018:0.9637,0.95:0
6295-244435-0031:0.9458,1.0:0
6295-244435-0037:1.0,0.9956:0
6295-64301-0002:1.0,0.9641:0
6295-64301-0019:1.0,1.0:0
6295-64301-0021:1.0,0.9687:0
6295-64301-0032:1.0,1.0:0
6313-66125-0020:1.0,1.0:0
6313-66129-0003:0.951,0.8983:0
6313-66129-0022:1.0,0.9209:0
6313-66129-0025:0.8815,0.8:0
6313-76958-0000:1.0,0.9652:0
6313-76958-0007:0.9437,0.8272:0
6313-76958-0025:1.0,0.7868:0
6313-76958-0030:0.6899,0.8238:0
6319-275224-0019:1.0,0.9631:0
6319-57405-0012:1.0,1.0:0
6319-64726-0006:1.0,1.0:0
6319-64726-0016:1.0,0.9475:0
6319-64726-0019:0.8668,0.8549:0
6345-64257-0014:1.0,1.0:0
6345-93302-0001:1.0,0.9469:0
6345-93302-0003:1.0,0.9083:0
6345-93302-0008:1.0,1.0:0
6345-93302-0023:1.0,0.9923:0
6345-93302-0026:0.9761,0.9761:0
6345-93302-0027:1.0,0.9923:0
6345-93302-0028:0.9482,0.9483:0
6345-93306-0010:1.0,0.9816:0
6345-93306-0015:1.0,0.9299:0
652-129742-0016:1.0,0.6911:0
652-130726-0002:0.9792,0.9335:0
652-130726-0017:1.0,0.971:0
652-130726-0020:1.0,0.9821:0
652-130726-0022:0.9554,0.9552:0
777-126732-0008:0.9168,0.7992:0
777-126732-0024:1.0,0.885:0
777-126732-0033:0.9275,0.7634:0
777-126732-0066:1.0,0.6864:0
7850-111771-0005:1.0,1.0:0
7850-281318-0004:1.0,1.0:0
7850-281318-0007:1.0,1.0:0
7850-281318-0010:0.8816,0.9728:0
7850-281318-0014:1.0,1.0:0
7850-281318-0019:1.0,1.0:0
1272-135031-0013:1.0,0.9147:0
3853-163249-0037:1.0,0.8444:0
6295-64301-0003:1.0,1.0:0
1988-147956-0017:1.0,1.0:0
2428-83699-0017:0.8887,0.9188:0
3536-23268-0018:1.0,0.9576:0
3576-138058-0026:0.9755,0.7929:0
6241-61943-0020:1.0,0.954:0
5694-64025-0007:0.9022,0.981:0
6313-66125-0001:1.0,1.0:0
5338-24640-0009:0.9971,0.9556:0
3170-137482-0002:0.999,0.9437:0
7850-286674-0002:1.0,1.0:0
1673-143396-0000:1.0,0.8998:0
1462-170138-0007:1.0,0.9908:0
2428-83699-0005:1.0,1.0:0
2412-153948-0013:1.0,1.0:0
174-84280-0007:0.9927,0.9061:0
3752-4944-0012:0.9962,0.8643:0
1993-147964-0005:1.0,0.9527:0
6313-66129-0008:0.9795,0.9628:0
2803-154320-0006:1.0,1.0:0
3853-163249-0009:0.9959,0.9707:0
6241-61943-0024:0.977,0.9817:0
652-129742-0020:0.9523,0.8604:0
3170-137482-0023:1.0,0.9747:0
2428-83705-0006:1.0,1.0:0
3000-15664-0006:1.0,1.0:0
6295-244435-0030:1.0,1.0:0
6241-61946-0016:1.0,0.8442:0
777-126732-0057:0.937,0.9387:0
6313-76958-0020:1.0,0.975:0
3752-4944-0027:0.9455,0.918:0
2902-9006-0005:1.0,0.9438:0
2086-149220-0033:1.0,0.9258:0
422-122949-0020:1.0,0.9464:0
3752-4944-0020:0.9006,0.8582:0
3170-137482-0005:1.0,0.9792:0
652-130726-0003:0.9942,0.9942:0
6295-244435-0028:1.0,1.0:0
1919-142785-0019:1.0,0.9181:0
2078-142845-0021:1.0,1.0:0
1673-143397-0018:1.0,1.0:0
3536-23268-0023:1.0,0.9078:0
5338-24615-0005:0.9288,0.855:0
1993-147965-0005:1.0,0.8845:0
6241-61943-0001:1.0,1.0:0
1462-170145-0006:1.0,0.9339:0
251-118436-0009:0.984,0.8909:0
2035-147960-0010:0.9146,0.9004:0
6241-61943-0026:1.0,0.9353:0
1993-147964-0000:0.9798,0.8164:0
3576-138058-0006:0.7622,0.7222:0
251-118436-0005:1.0,0.9735:0
777-126732-0029:0.9212,0.9318:0
2412-153954-0016:1.0,0.9428:0
3081-166546-0079:1.0,0.9554:0
2428-83705-0027:1.0,1.0:0
3576-138058-0002:0.9304,0.9314:0
3752-4944-0030:0.9492,0.9492:0
2803-161169-0002:1.0,0.9216:0
3081-166546-0035:1.0,1.0:0
3853-163249-0044:0.9214,1.0:0
6345-93302-0007:1.0,1.0:0
422-122949-0009:0.9303,0.9263:0
5338-284437-0015:0.9315,0.9743:0
5895-34622-0004:1.0,1.0:0
251-137823-0017:1.0,1.0:0
6241-61943-0005:1.0,0.9516:0
2035-147961-0004:1.0,0.8521:0
5895-34622-0016:0.9632,0.854:0
174-50561-0014:1.0,1.0:0
3752-4944-0052:1.0,0.8827:0
2428-83705-0007:1.0,1.0:0
2277-149874-0001:1.0,0.9314:0
2803-161169-0010:0.9977,0.986:0
3576-138058-0024:1.0,0.9829:0
1272-141231-0017:0.9412,0.9346:0
1919-142785-0034:1.0,0.9711:0
6345-64257-0010:1.0,0.9309:0
1993-147966-0004:1.0,0.9918:0
1462-170142-0034:1.0,1.0:0
251-118436-0007:1.0,1.0:0
5536-43358-0009:0.975,0.9553:0
1993-147965-0003:1.0,1.0:0
3000-15664-0012:1.0,0.9613:0
6345-93306-0024:1.0,0.8805:0
1993-147149-0001:1.0,1.0:0
777-126732-0031:1.0,0.8984:0
2086-149220-0032:1.0,1.0:0
1919-142785-0024:1.0,1.0:0
1993-147149-0029:1.0,0.9308:0
777-126732-0045:0.8894,0.862:0
2803-154328-0004:0.985,0.9234:0
6295-244435-0027:1.0,1.0:0
6313-66129-0018:0.8793,0.9377:0
1272-141231-0026:0.943,0.9278:0
2803-154328-0015:0.9285,0.9506:0
3536-8226-0032:0.9552,0.9918:0
1462-170142-0033:0.9841,0.8038:0
6313-66129-0006:0.9595,1.0:0
777-126732-0003:0.9421,0.8109:0
3081-166546-0007:1.0,1.0:0
2428-83705-0036:1.0,1.0:0
3081-166546-0054:0.8851,0.8775:0
3081-166546-0030:1.0,1.0:0
2035-152373-0000:0.9233,0.8439:0
3000-15664-0032:0.9044,0.9044:0
3536-23268-0011:1.0,0.903:0
1919-142785-0062:1.0,0.9889:0
2035-147960-0012:1.0,1.0:0
3853-163249-0051:1.0,1.0:0
2086-149220-0013:1.0,0.9686:0
5338-24640-0005:1.0,0.9073:0
3536-8226-0010:1.0,1.0:0
3536-8226-0020:1.0,0.9804:0
5338-24640-0003:0.9671,0.846:0
652-130726-0014:1.0,0.9491:0
2086-149220-0028:0.7768,0.8793:0
2086-149220-0048:0.9663,0.8827:0
2803-154320-0010:1.0,1.0:0
1673-143396-0013:0.8891,0.918:0
2035-147961-0016:1.0,1.0:0
5536-43363-0018:0.9781,0.9131:0
2035-152373-0011:1.0,0.9017:0
2902-9006-0020:0.9753,0.971:0
2803-154320-0009:1.0,1.0:0
251-136532-0017:0.873,0.9505:0
6313-66125-0011:0.8947,0.9117:0
1462-170138-0013:1.0,0.9279:0
2277-149896-0019:1.0,1.0:0
6241-61946-0020:0.9986,0.8673:0
3170-137482-0031:1.0,0.9664:0
1919-142785-0028:1.0,1.0:0
422-122949-0007:1.0,0.9183:0
1462-170145-0020:1.0,1.0:0
1462-170138-0012:0.9924,0.9522:0
5694-64025-0013:1.0,1.0:0
2412-153947-0012:1.0,1.0:0
2428-83699-0004:1.0,0.9683:0
3000-15664-0003:1.0,0.9833:0
6345-64257-0018:1.0,0.9723:0
2277-149897-0002:1.0,0.9025:0
3081-166546-0016:1.0,0.9238:0
7850-281318-0006:1.0,1.0:0
3536-8226-0006:0.9866,0.9574:0
1919-142785-0036:1.0,0.9494:0
777-126732-0039:1.0,0.725:0
2803-154320-0007:1.0,1.0:0
6313-76958-0023:0.9219,0.8212:0
5895-34622-0019:1.0,0.8502:0
777-126732-0052:1.0,0.8608:0
5895-34622-0002:1.0,1.0:0
1272-135031-0015:0.92,0.8547:0
6241-61946-0012:1.0,1.0:0
6241-61946-0006:1.0,0.9885:0
3576-138058-0001:0.8419,0.8259:0
5338-284437-0023:1.0,0.9414:0
3081-166546-0089:1.0,0.9181:0
1462-170142-0036:1.0,0.9634:0
3576-138058-0018:0.9886,0.9554:0
2428-83699-0015:1.0,1.0:0
6319-64726-0001:1.0,0.9217:0
7850-281318-0002:1.0,1.0:0
2086-149214-0004:0.9775,0.933:0
2412-153954-0008:1.0,1.0:0
422-122949-0031:1.0,0.9917:0
2277-149897-0027:1.0,1.0:0
1988-148538-0005:0.9638,0.9137:0
6319-275224-0008:1.0,0.9877:0
2035-147960-0014:1.0,0.8239:0
2428-83699-0022:1.0,1.0:0
1673-143396-0004:1.0,0.9359:0
1462-170142-0028:1.0,0.9229:0
251-137823-0006:1.0,1.0:0
652-130726-0015:1.0,0.9204:0
2035-147961-0033:1.0,1.0:0
7850-281318-0021:0.9467,0.9239:0
652-130726-0025:1.0,1.0:0
2428-83705-0021:1.0,1.0:0
2277-149896-0028:1.0,1.0:0
422-122949-0028:1.0,0.8942:0
5895-34629-0031:1.0,1.0:0
251-118436-0010:1.0,0.9485:0
5694-64025-0014:0.9226,1.0:0
652-130737-0003:0.9086,1.0:0
652-129742-0002:1.0,1.0:0
5536-43363-0016:1.0,1.0:0
2035-147961-0015:1.0,0.9818:0
2803-154328-0017:1.0,0.9077:0
777-126732-0074:1.0,0.9208:0
2803-161169-0003:1.0,0.9975:0
6241-61943-0021:1.0,0.9242:0
3576-138058-0021:1.0,1.0:0
3752-4943-0011:1.0,0.8697:0
3081-166546-0026:0.9689,0.9689:0
251-136532-0019:1.0,0.893:0
3752-4944-0045:1.0,1.0:0
2428-83699-0037:1.0,0.9119:0
1272-128104-0012:1.0,1.0:0
3752-4943-0002:1.0,0.946:0
5694-64038-0017:1.0,0.9135:0
652-130726-0016:0.881,0.8368:0
1993-147964-0006:1.0,1.0:0
7850-281318-0015:1.0,1.0:0
1462-170142-0022:1.0,1.0:0
5895-34615-0016:0.9967,0.9506:0
251-118436-0003:1.0,0.913:0
3170-137482-0018:0.9394,0.9477:0
6295-244435-0000:0.9889,0.9076:0
2412-153947-0014:1.0,0.8948:0
251-137823-0014:1.0,1.0:0
2902-9006-0014:0.9063,0.9368:0
2078-142845-0039:0.9982,0.9642:0
5694-64038-0016:1.0,1.0:0
422-122949-0024:1.0,0.9584:0
1988-24833-0005:0.9543,0.7744:0
2412-153948-0005:1.0,0.9827:0
2277-149874-0003:1.0,1.0:0
5895-34629-0003:1.0,0.9931:0
2412-153954-0005:1.0,1.0:0
2803-161169-0000:0.9819,0.9674:0
1272-135031-0002:0.9829,0.8717:0
5338-284437-0032:0.9746,0.9255:0
3853-163249-0028:0.9936,0.9589:0
5536-43363-0015:1.0,1.0:0
2277-149897-0025:1.0,1.0:0
1919-142785-0027:1.0,0.8985:0
6295-64301-0000:0.9774,0.947:0
2277-149874-0004:1.0,0.9439:0
3853-163249-0034:0.8802,0.8238:0
174-50561-0015:0.9048,0.9048:0
3081-166546-0069:1.0,1.0:0
1993-147149-0023:1.0,1.0:0
1993-147149-0007:1.0,0.9141:0
6295-244435-0023:1.0,1.0:0
3752-4943-0004:1.0,0.9891:0
5338-24615-0011:0.9216,0.9269:0
3000-15664-0033:1.0,0.9311:0
1988-24833-0000:1.0,0.8847:0
3752-4944-0006:1.0,0.9862:0
2428-83699-0014:1.0,1.0:0
422-122949-0015:1.0,0.9081:0
3576-138058-0036:1.0,0.9243:0
6241-66616-0018:0.9974,0.9407:0
2428-83705-0022:1.0,0.9696:0
251-137823-0020:1.0,0.9431:0
1462-170138-0019:1.0,0.9778:0
1673-143396-0006:1.0,0.9154:0
1462-170145-0013:1.0,1.0:0
2277-149897-0011:1.0,1.0:0
1462-170145-0008:1.0,1.0:0
2277-149897-0010:1.0,0.9266:0
2412-153954-0011:1.0,1.0:0
1462-170142-0004:1.0,1.0:0
5338-284437-0009:1.0,0.9159:0
3752-4944-0041:1.0,1.0:0
6313-66129-0002:0.9154,0.9198:0
3000-15664-0040:1.0,0.8881:0
6313-66129-0032:1.0,1.0:0
2277-149896-0010:0.9325,1.0:0
6319-275224-0004:1.0,0.9642:0
3081-166546-0029:0.9415,0.9625:0
3752-4943-0023:0.9581,0.814:0
3170-137482-0027:0.9168,0.8644:0
2086-149220-0038:1.0,0.9946:0
6313-66125-0003:0.9319,0.9909:0
6319-64726-0012:1.0,0.629:0
3853-163249-0031:0.9917,0.9832:0
1988-24833-0013:1.0,1.0:0
5694-64038-0025:1.0,0.8002:0
652-130726-0027:1.0,1.0:0
2277-149897-0020:1.0,0.9401:0
5895-34615-0008:1.0,1.0:0
2428-83699-0041:0.9193,1.0:0
3576-138058-0013:0.8763,1.0:0
6295-64301-0010:1.0,1.0:0
174-84280-0013:1.0,0.9269:0
6313-66129-0009:0.9654,0.9654:0
5536-43358-0018:1.0,0.9023:0
1272-135031-0012:1.0,1.0:0
3536-23268-0008:1.0,0.9537:0
3170-137482-0044:0.9296,0.9398:0
652-130726-0005:1.0,0.9618:0
2277-149896-0031:1.0,0.9519:0
6241-61943-0007:1.0,0.9926:0
1462-170142-0008:1.0,0.9113:0
3536-8226-0013:0.9504,0.9528:0
6345-93306-0006:1.0,0.9743:0
174-168635-0016:0.9941,0.9941:0
2035-147961-0011:1.0,1.0:0
2412-153947-0004:1.0,0.9091:0
1919-142785-0014:0.9978,1.0:0
2803-154328-0010:1.0,0.9705:0
251-136532-0006:1.0,0.8805:0
6313-76958-0003:0.9359,0.8747:0
5338-284437-0001:1.0,0.9202:0
2277-149874-0008:1.0,0.9734:0
1993-147149-0013:1.0,0.8385:0
1462-170142-0035:1.0,0.9041:0
6295-244435-0036:1.0,0.9412:0
777-126732-0030:1.0,0.8988:0
3081-166546-0057:1.0,1.0:0
1993-147149-0009:1.0,0.9926:0
3081-166546-0084:1.0,1.0:0
3081-166546-0058:1.0,0.9556:0
251-137823-0010:1.0,1.0:0
3752-4944-0029:1.0,0.8437:0
5536-43359-0006:1.0,1.0:0
6313-66129-0015:0.9873,0.8107:0
2902-9008-0016:1.0,1.0:0
251-118436-0015:1.0,1.0:0
2412-153954-0015:0.9184,0.8729:0
3576-138058-0011:0.9437,0.9437:0
6313-76958-0009:0.8419,0.8602:0
2428-83705-0013:1.0,1.0:0
2412-153954-0020:1.0,0.9545:0
1462-170142-0010:1.0,1.0:0
1993-147149-0021:1.0,0.9082:0
2086-149220-0023:1.0,0.9141:0
5895-34622-0022:1.0,0.9615:0
2277-149896-0008:1.0,0.9685:0
5895-34622-0005:1.0,0.963:0
2086-149220-0009:1.0,0.8517:0
5895-34629-0032:1.0,1.0:0
174-168635-0010:0.9882,1.0:0
3081-166546-0024:1.0,1.0:0
3536-8226-0015:1.0,0.99:0
3536-8226-0009:0.9446,0.8805:0
3081-166546-0072:1.0,1.0:0
3853-163249-0043:1.0,0.8584:0
1919-142785-0016:1.0,1.0:0
2277-149897-0024:1.0,0.9841:0
1272-128104-0005:1.0,0.9944:0
5536-43359-0010:1.0,1.0:0
174-50561-0011:0.8596,0.9682:0
2035-152373-0017:0.9062,0.8531:0
1993-147149-0016:1.0,0.9455:0
6319-57405-0006:0.8809,0.8576:0
2277-149896-0032:1.0,1.0:0
1272-128104-0000:1.0,1.0:0
3000-15664-0042:1.0,0.84:0
777-126732-0065:1.0,0.9717:0
2277-149897-0016:1.0,0.977:0
5536-43363-0008:1.0,0.9519:0
6241-66616-0001:0.9478,0.9462:0
2078-142845-0029:1.0,0.9097:0
3081-166546-0021:0.9437,0.9437:0
3853-163249-0007:0.9822,0.9093:0
3853-163249-0036:0.9629,0.9427:0
1272-141231-0032:0.9099,0.9136:0
777-126732-0013:1.0,0.8196:0
652-129742-0005:1.0,1.0:0
1462-170142-0002:1.0,1.0:0
2277-149897-0014:1.0,0.9535:0
6313-66129-0012:0.7825,0.7718:0
3000-15664-0019:0.9292,0.9223:0
7850-286674-0005:1.0,0.8807:0
5694-64038-0011:1.0,0.8475:0
6319-275224-0018:1.0,0.941:0
2803-161169-0015:1.0,0.9577:0
3752-4944-0055:1.0,1.0:0
6241-61946-0019:1.0,0.9599:0
652-130737-0007:0.9115,0.9786:0
5694-64038-0013:1.0,1.0:0
5536-43358-0011:1.0,1.0:0
5536-43363-0009:1.0,0.9925:0
777-126732-0019:0.9224,0.839:0
2803-154320-0012:1.0,1.0:0
777-126732-0047:0.9703,0.8277:0
6241-66616-0002:1.0,1.0:0
2035-152373-0015:1.0,0.9607:0
6241-61943-0016:1.0,0.9:0
2803-154320-0014:0.9943,0.959:0
5694-64025-0010:1.0,0.9236:0
3000-15664-0039:1.0,0.9823:0
5536-43359-0004:1.0,1.0:0
2035-152373-0014:1.0,0.9655:0
2902-9008-0011:1.0,1.0:0
2412-153948-0002:1.0,0.9386:0
6345-64257-0017:1.0,1.0:0
1919-142785-0063:1.0,1.0:0
6345-93302-0004:1.0,1.0:0
1919-142785-0033:1.0,0.9139:0
6313-76958-0027:0.9781,0.9779:0
3170-137482-0030:1.0,1.0:0
2428-83699-0008:1.0,1.0:0
3536-23268-0016:1.0,0.9149:0
3853-163249-0039:1.0,1.0:0
6241-61943-0002:1.0,0.9689:0
2428-83699-0009:1.0,1.0:0
6241-61946-0015:1.0,1.0:0
3081-166546-0015:1.0,1.0:0
6319-64726-0020:1.0,1.0:0
6319-64726-0014:1.0,0.8577:0
2412-153954-0013:1.0,1.0:0
6241-66616-0009:0.8819,0.84:0
5895-34629-0022:1.0,0.9681:0
3752-4943-0014:1.0,1.0:0
3752-4943-0022:0.8437,0.921:0
2078-142845-0044:1.0,1.0:0
3081-166546-0034:1.0,1.0:0
2035-147961-0040:1.0,0.9394:0
2277-149897-0006:0.8311,0.8311:0
3752-4943-0012:1.0,1.0:0
1919-142785-0045:1.0,1.0:0
2277-149874-0018:1.0,0.9314:0
2086-149220-0031:1.0,0.9318:0
3536-23268-0013:1.0,0.9692:0
3576-138058-0004:0.8511,0.9055:0
6241-66616-0021:1.0,0.9715:0
7850-111771-0004:1.0,0.9434:0
2277-149874-0007:1.0,1.0:0
2086-149220-0016:0.9272,0.8854:0
2277-149896-0016:1.0,1.0:0
2803-154328-0001:1.0,1.0:0
1993-147964-0004:1.0,0.8885:0
1993-147964-0008:1.0,1.0:0
7850-286674-0003:1.0,1.0:0
5694-64029-0005:1.0,0.9201:0
6313-66125-0027:0.9103,0.83:0
652-129742-0001:1.0,1.0:0
1272-135031-0006:1.0,0.9732:0
5536-43358-0017:1.0,0.8646:0
6295-64301-0008:1.0,0.9841:0
251-118436-0023:1.0,0.9232:0
3853-163249-0046:0.9533,0.9607:0
1988-24833-0021:1.0,1.0:0
1993-147965-0007:1.0,1.0:0
1919-142785-0059:1.0,0.9218:0
1993-147149-0027:1.0,0.8996:0
2277-149897-0031:1.0,0.9369:0
1993-147965-0001:1.0,1.0:0
5895-34629-0011:1.0,0.9532:0
1919-142785-0005:0.9128,0.9037:0
6319-64726-0004:0.9774,0.87:0
1272-128104-0002:0.9817,0.9377:0
1272-135031-0000:0.8981,0.9648:0
2412-153948-0008:1.0,0.9595:0
3752-4944-0049:0.8668,0.961:0
